project_id,developer_id,district_id,project_name_th,project_name_en,unittype,province_id,lat,lon,project_land_rai,total_unit,starting_price,project_status,created_at,Unit,15H1,15H2,16H1,16H2,17H1,17H2,Bedroom,Bathroom,Price2020
2899,16784,1011,Rhythm Phahon-Ari,Rhythm Phahon-Ari,3,10,13.73632,100.7464,14,1120,1700000,A,2011,28,60785,59828,51864,48026,50637,56686,1,1,1450000
4642,12971,1032,แอสปาย พระราม 4,aspire,3,10,13.71656,100.6549,15,,2399998,U,2014,23,72627,64364,62958,60773,61983,61770,1,1,1450000
1104,139513,1009,เดอะ เครสท์ พหลโยธิน 11,The Crest Phahonyothin 11,3,10,13.68776,100.6352,10.9875,794,1300000,A,2010,26.52,48430,49289,46920,47603,50849,54743,1,1,1500000
3224,19135,1035,Rhythm Ratchada,Rhythm Ratchada,3,10,13.6742,100.4583,2.9375,367,1690000,A,2012,30,49342,46698,47046,48100,42960,49557,1,1,1500000
3543,779,1038,พาร์ค เอ็กซ์โซ พลัส เกษตร-นวมินทร์,PARC EXO Plus Kaset-Navamintra,3,10,13.80854,100.5907,3.42,301,1500000,U,2012,25.25,55202,56968,52214,56952,50760,56948,1,1,1500000
3894,11410,1030,The Key พหลโยธิน,THE KEY PHAHONYOTHIN,3,10,13.8404,100.5807,7.25,785,2500000,U,2013,34,56640,53871,54671,53907,62676,76165,1,1,1500000
4543,11191,1049,เดอะ คีย์ ประชาชื่น,THE KEY PRACHACHUEN,3,10,13.65451,100.498,1.2275,221,1440000,U,2014,23,49578,30112,65789,69585,74293,75435,1,1,1500000
4558,12971,1006,วิลล่า อโศก,Villa Asoke,3,10,13.75373,100.6311,10.41,998,1297000,U,2014,28,52938,53663,53495,53078,52277,51875,1,1,1500000
3051,818,1009,แฮปปี้ คอนโด รัชดา 18,Happy Condo Ratchada 18,3,10,13.6765,100.6383,9.3575,840,2590000,U,2011,29.7,61141,64775,65556,63865,65342,67299,1,1,1535000
2920,16805,1024,แฮปปี้ คอนโด ลาดพร้าว 101,Happy Condo Ladprao 101,3,10,13.68307,100.4928,3.5,,1400000,U,2011,35,44777,55506,40583,34662,36181,37701,1,1,1550000
3185,6032,1029,อีควิน๊อกซ์ พหลฯ-วิภาฯ,Equinox Phahol-Vibha,3,10,13.81666,100.5347,4.5875,672,850000,A,2012,30,52419,51613,54140,62323,51580,50980,1,1,1550000
4055,2895,1032,ชีวาทัย รามคำแหง,Chewathai Ramkhamhaeng,3,10,13.73015,100.6997,5.6975,498,1390000,U,2013,30,40589,38355,45161,51469,50459,69097,1,1,1550000
4099,12971,1006,เดอะ มาร์ค รัชดา-แอร์พอร์ตลิงค์,The Mark Ratchada-Airport Link,3,10,13.76321,100.6495,8,1212,1490000,U,2013,22.5,65442,78357,82246,84019,72422,70056,1,1,1550000
4548,7959,1038,คาซ่าคอนโด สุขุมวิท 97,Casa Condo Sukhumvit 97,3,10,13.83305,100.6164,2.3675,,1900000,U,2014,35,51937,57913,55041,59026,54644,51590,1,1,1550000
3610,11066,1040,ศุภาลัย พรีเมียร์ ราชเทวี,Supalai Premier @Ratchathewi,3,10,13.71098,100.396,5.9875,811,1290000,A,2012,24.5,75963,75518,75074,77204,76716,64929,1,1,1590000
3878,2923,1006,โซซิโอ เรฟเฟอเรนซ์ 61,Socio Reference 61,3,10,13.76228,100.641,5.12,546,1990000,A,2013,25,,,69697,77069,84440,75588,1,1,1590000
921,4159,1032,มายด์ คอนโด รามคำแหง,Mind Condo Ramkhamhaeng,3,10,13.67302,100.6456,13.5325,1415,3600000,A,2011,35,42280,39322,45192,47353,45934,45172,1,1,1600000
1819,12971,1005,โว้ค เรสซิเด้นท์เชียล คอนโดมิเนียม สุขุมวิท 31,Voque Residential Condominium Sukumvit 31,3,10,13.87145,100.6026,4.49,516,1851000,U,2010,28,67334,69636,68771,69324,69489,72183,1,1,1600000
3811,16773,1005,เอ็ม สีลม,M Silom,3,10,13.84748,100.6405,11.305,1168,1800000,A,2013,25,72166,75856,68874,68729,74472,77476,1,1,1600000
2551,1438,1018,เดอะ เทมโป พหลโยธิน,The Tempo Phaholyothin,3,10,13.72146,100.4982,7,79,2650000,U,2011,25,84768,78541,73290,74599,71068,74976,1,1,1650000
3020,779,1047,วิสซ์ดอม สถานีปุณณวิถี,Whizdom @Punnawithi Station,3,10,13.66488,100.6376,1.855,643,4600000,A,2011,,,,,,,,1,1,1650000
3740,19226,1047,ทรี คอนโด ลักซ์ สุขุมวิท 52,Tree condo LUXE Sukhumvit 52,3,10,13.68502,100.604,7.7225,962,1290000,U,2013,21,68147,71894,74667,76231,81687,83547,1,1,1650000
3098,4159,1017,เดอะ เน็กซ์ การ์เดนท์ มิกซ์ สุขุมวิท 52,The Garden Mix Sukhumvit 52,3,10,13.77115,100.5833,11.3825,875,1550000,U,2012,30,61426,63720,66397,69576,63068,61362,1,1,1690000
4111,226,1047,เออร์บาโน่ แอบโซลูท สาทร-ตากสิน,Urbano Absolute Sathon-Taksin,3,10,13.66432,100.6318,2.1625,238,1990000,A,2013,24,,,71474,69039,66603,64841,1,1,1690000
4175,16813,1040,เซอร์เคิล เพชรบุรี,CIRCLE PETCHABURI,3,10,13.71158,100.4168,1.7275,222,1620000,A,2013,28,,,66218,71071,70124,77859,1,1,1690000
2137,818,1047,ริชพาร์ค @บางซ่อน สเตชั่น,Rich Park @Bangson Station,3,10,13.65926,100.6309,14.9275,1384,1590000,A,2011,29,53348,51629,51276,52033,51156,50490,1,1,1700000
3082,18379,1034,ไฮฟ์ สาทร,Hive Sathorn,3,10,13.7126,100.6421,4.5225,360,2150000,U,2011,33,80274,75359,76442,75284,76529,72397,1,1,1700000
3465,818,1005,โนเบิล รีมิกซ์ 2,noble Remix 2,3,10,13.84085,100.589,2,181,1000000,U,2012,24.43,61828,67473,76882,72558,71491,70693,1,1,1700000
4004,10085,1006,ลุมพินี วิลล์ ลาซาล-แบริ่ง,Lumpini Ville Lasalle-Barring,3,10,13.76455,100.6157,2.0325,229,1600000,A,2013,27,61051,58804,59383,68037,64734,62042,1,1,1700000
4094,12971,1024,สุพรีม การ์เด้น,Supreme Garden,3,10,13.68702,100.4915,5,,1480000,U,2013,22,57910,56905,57747,55494,51796,60510,1,1,1700000
4365,9234,1032,เดอะ ราฟเฟิล คอนโดมิเนียม,The Raffles Condominium,3,10,13.72053,100.6813,0.6175,56,2300000,A,2013,46,35988,38355,45166,51469,50459,69097,1,1,1700000
4735,128,1005,เลอ โคเต้ ทองหล่อ 8 (Le Cote Thonglor 8),Le Cote Thonglor 8,3,10,13.88995,100.6065,1.0125,150,1890000,A,2014,24.15,30145,56333,77602,72525,77503,78005,1,1,1700000
4931,4414,1038,The Sathu Residences,,3,10,13.79925,100.6066,1.56,168,1430000,U,2014,30,,,,,,,1,1,1700000
3702,12971,1035,ไอวี่ ปิ่นเกล้า,Ivy Pinklao,3,10,13.69139,100.4811,4,747,1230000,U,2013,24.26,59953,70720,67294,68400,71042,66598,1,1,1720000
3475,9905,1030,วอเตอร์ฟอร์ด สุขุมวิท 50,WaterFord Sukhumvit 50,3,10,13.82107,100.5882,0.9575,79,1990000,U,2012,47.97,37050,38787,47679,32903,34100,39320,1,1,1750000
4576,12136,1047,ซีณิธ เพลส สุขุมวิท 42,ZENITH PLACE Sukhumvit 42,3,10,13.65302,100.6438,19.01,878,1590000,A,2014,40,44333,44166,46318,48104,46513,55806,1,1,1750000
5707,11066,1038,ซีล บาย แสนสิริ,CEIL by Sansiri,3,10,13.80958,100.5913,3.03,376,1290000,U,2015,23,,,,76410,78222,72889,1,1,1750000
5005,15444,1047,เอเบิลส์ ลาดพร้าว 27,Ables Ladprao 27,3,10,13.66042,100.6113,2.395,353,2050000,A,2014,25,,,76907,79630,78882,85458,1,1,1780000
4783,16792,1030,สุขุมวิท ลิฟวิ่งทาวน์ (Sukhumvit Living Town),Sukhumvit Living Town,3,10,13.80142,100.5724,0.4325,49,1480000,A,2014,29.72,67731,71009,74286,75106,71012,66918,1,1,1790000
836,7959,1034,ทรู ทองหล่อ,Thru Thonglor,3,10,13.71109,100.6354,7.0225,832,1790000,A,2010,27.54,56517,55169,51887,50658,57381,49566,1,1,1800000
1258,9905,1006,ลิฟว์ แอท ไฟว์,LIV@5,3,10,13.76133,100.6487,3.535,592,3700000,A,2010,31,60545,58453,62606,61070,67561,55954,1,1,1800000
1937,4159,1009,เดอะ สุรวงศ์ บาย ชีวาทัย ฮัพ ซูน,THE SURAWONG BY CHEWATHAI HUP SOON,3,10,13.68167,100.6105,7,,960000,U,2011,29,60675,60215,63480,64761,65070,62569,1,1,1800000
2878,16763,1030,พลัมคอนโด นวมินทร์,Plum Condo Nawamin,3,10,13.79601,100.5582,1.625,302,2190000,A,2011,29.3,70368,70959,66962,66395,80380,78014,1,1,1800000
3208,7959,1026,โว้ค เรสซิเด้นท์เชียล คอนโดมิเนียม สุขุมวิท 16,Voque Residential Condominium Sukumvit 16,3,10,13.75677,100.5614,14,,3690000,U,2012,25,68125,70243,68285,65880,68420,72151,1,1,1800000
3239,3588,1030,ดิ แอดเดรส สาทร,The Address,3,10,13.83466,100.5795,1.4675,207,1990000,A,2012,28.82,90555,91944,91124,84010,77268,92759,1,1,1800000
3515,6719,1029,อิลีเม้นท์ ศรีนครินทร์,Elements Srinakarin,3,10,13.81225,100.5252,4.315,1132,1890000,A,2012,28,74257,73584,71153,69672,71536,70340,1,1,1800000
3856,1145,1047,ชาโตว์ อินทาวน์ รัชดา 20,Chateau in Town Ratchada 20,3,10,13.68435,100.6147,6.9425,810,2890000,A,2013,30,62268,65973,66088,67202,67017,67923,1,1,1800000
2546,4236,1018,ยู ดีไลท์ 2 @ บางซื่อ สเตชั่น,U Delight @ Bang Sue Station,3,10,13.7225,100.4988,1.5675,171,1590000,A,2011,26,70866,63003,70461,71166,79086,93058,1,1,1850000
3801,779,1027,โนเบิล โซโล,Noble Solo,3,10,13.83546,100.6571,3.96,406,1300000,U,2013,31,35166,33542.06,45467.62,56005.16,49992.01,58050.3,1,1,1850000
3807,16534,1047,ศุภาลัย พรีมา ริวา (พระราม 3 - นราธิวาส),,3,10,13.67142,100.636,3.9075,566,1890000,A,2013,26,61368,63621,66079,77350,79858,78324,1,1,1850000
5883,137856,1005,สตาร์ วิว พระราม 3,Star View Rama 3,3,10,13.86439,100.6167,0,79,1990000,A,2015,23,,,101271,78155,76426,70660,1,1,1850000
5906,3588,1015,เดอะเพลนเนอรี่ สาทร,The Plenary Sathorn,3,10,13.70812,100.4804,3.6875,710,2290000,A,2015,28,83896,73255,79073,80459,79788,80901,1,1,1850000
3312,14248,1012,ฟิวส์ สาทร-ตากสิน,Fuse Sathorn-Taksin,3,10,13.70643,100.5321,6.9525,1676,1890000,A,2012,26,78468,84312,79582,77854,73562,84027,1,1,1890000
3650,20558,1030,ไอดีโอ สาทร-ตากสิน,Ideo sathorn-Taksin,3,10,13.80156,100.5715,1.01,156,3700000,A,2013,28,,,,135756,72818,81152,1,1,1890000
2165,9720,1043,สาทร เรสซิเด้นซ์ คอนโดมิเนียม,Sathorn Residence Condominium,3,10,13.8115,100.6672,19.285,1232,1680000,A,2011,29.22,60657,58845,59538,61612,56862,52575,1,1,1899300
1970,1288,1038,คอนโดเลต ไลท์ คอนแวนต์,Condolette Light Convent,3,10,13.8517,100.6297,0,,1290000,U,2010,33,,,,,,,1,1,1900000
2282,10579,1029,รีเจ้นท์ โฮม 15 แจ้งวัฒนะ,Regent Home 15 Changwattana,3,10,13.82311,100.5327,3.795,803,2000000,A,2011,28,79799,87920,71580,86713,77121,73533,1,1,1900000
2579,11515,1017,แอชตัน (มอร์ฟ 38),ASHTON MORPH 38,3,10,13.78595,100.5731,1.305,193,3600000,U,2011,23.22,75720,87079,77333,77000,77722,80473,1,1,1900000
3544,20283,1038,รีเจ้นท์ โฮม 6 ประชาชื่น,Regent Home 6 Prachachuen,3,10,13.83197,100.6138,4.7975,392,1490000,A,2012,28,75928,74626,74394,62365,58435,67437,1,1,1900000
4031,3902,1024,สมาร์ท พระราม 2,Smart Rama 2,3,10,13.68142,100.4937,3.8725,896,1590000,A,2013,25,43182,47403,65865,82200,68553,74624,1,1,1900000
4445,10041,1009,เจริญกรุงเพลส,Charoenkrung Place,3,10,13.66282,100.609,0.5,,1590000,U,2013,27,74587,75186,76815,73231,74152,68565,1,1,1900000
4776,8916,1030,เอส ซี เรสซิเด็นซ์,S.C. Residence,3,10,13.84955,100.5592,0,70,1350000,U,2014,32.25,60122,67540,67437,67206,72219,64861,1,1,1900000
4994,12971,1019,ยู ดีไลท์ @ จตุจักร สเตชั่น,U Delight at Jatujuck Station,3,10,13.78517,100.4608,6,992,2150000,U,2014,28,42259,64140,72597,73048,64475,69484,1,1,1900000
2088,4159,1016,ศุภาลัย ปาร์ค ราชพฤกษ์-เพชรเกษม,Supalai Park @ Ratchaphruek-Phetkasem,3,10,13.72867,100.4741,3.2,610,1000000,U,2011,32.79,57337,56010,58781,57272,62035,57903,1,1,1950000
2194,139514,1006,เจ ดับบลิว ซิตี้ รัชดา 32,J.W. City Ratchada 32,3,10,13.76135,100.6329,3.83,535,1990000,U,2011,30,65971,87815,78750,79583,80275,68328,1,1,1950000
2583,140598,1045,เอเซ่ รัชดา คอนโดมิเนียม,Ease Ratchada Condominium,3,10,13.78369,100.6138,1.125,,3100000,U,2011,39.23,59536,53701,59411,60268,54894,55926,2,1,1950000
3240,11515,1017,เดอะ คริส รัชดา 17,The Kris Ratchada 17,3,10,13.7858,100.5731,7,,1900000,U,2012,26.69,82741,85149,85585,88061,85357,83082,1,1,1950000
3880,7959,1017,อัสสกาญจน์เพลส ลาดพร้าว,Assakarn Place Ladphrao,3,10,13.78953,100.5888,4.835,499,4110000,U,2013,32,60983,59132,58948,59234,58388,59716,1,1,1950000
3939,10724,1034,รีเจนท์ โฮม 12 ลาดพร้าว 41,Regent Home 12 Ladprao 41,3,10,13.74372,100.6434,12.6925,1152,1377628,U,2013,32,54992,54058,51181,49554,48812,49412,1,1,1950000
4779,140678,1038,เจ ดับบลิว บูเลอวาร์ด,J.W. Boulevard,3,10,13.82799,100.6212,0.9975,69,1790000,A,2014,40,,,660531,62665,61460,66061,1,1,1950000
4224,19226,1035,เอลิส คอนโดมิเนียม วงเวียนใหญ่,Aliss Condominium Wongwainyai,3,10,13.71409,100.4676,4.065,979,1990000,U,2013,22,101928,99783,99846,101587,103036,101853,1,1,1976000
3499,20189,1027,รีเจ้นท์ โฮม 7 สุขุมวิท,Regent Home 7 Sukhumvit,3,10,13.77686,100.6621,6.1275,508,799000,A,2012,37,40056,50830,54841,50779,56321,54644,1,1,1980000
2105,14248,1020,โคเรสซิโอ สาทร-พิพัฒน์,Collezio Sathorn-Pipat,3,10,13.78613,100.4696,6.595,1408,1790000,U,2011,27,73215,68357,68711,72806,75723,66456,1,1,1990000
2205,1887,1009,เดอะ พาโน,The Pano,3,10,13.69802,100.6069,1.8275,218,2390000,U,2011,26,79762,79608,79054,78389,73132,74957,1,1,1990000
3107,10085,1030,วายน์ สุขุมวิท,Wyne Sukhumvit,3,10,13.8055,100.5699,0.865,129,2490000,A,2012,25.63,77320,90613,91571,93015,96065,90866,1,1,1990000
3648,20551,1009,อกัสตัน สุขุมวิท 22,Aguston Sukhumvit 22,3,10,13.67692,100.6034,1.5825,180,1400000,A,2013,23.51,103257,98821,46162,74088,78815,78257,1,1,1990000
5462,10041,1047,คีนน์ บาย แสนสิริ,Keyne By Sansiri,3,10,13.66068,100.6061,0.7875,74,1689999,U,2015,27,,,87333,81541,80942,80822,1,1,1990000
3762,8870,1045,เวีย 49,Via 49,3,10,13.78764,100.6139,2.1825,51,1800000,A,2013,29,61564,62398,64395,67586,75862,84204,1,1,2000000
4538,12971,1038,ไอวี่ ทองหล่อ,IVY Thonglor,3,10,13.79581,100.5924,7,,1700000,U,2014,28,61780,62412,64479,65568,67681,66515,1,1,2000000
4557,2486,1009,รีเจ้นท์ โฮม 9 สุขุมวิท 64,Regent Home 9 Sukhumvit 64,3,10,13.70563,100.6038,1.5725,146,1300000,U,2014,26,70589,72095,76457,75514,72959,81130,1,1,2000000
4741,17460,1021,เซนส์ สุขุมวิท,Sense Sukhumvit,3,10,13.66559,100.4332,4.2475,458,1690000,A,2014,32,74303,65572,56840,61298,68394,71314,1,1,2000000
4828,4861,1035,ซีณิธ เพลส สุขุมวิท 71/1,Zenith Place @ Sukhumvit 71/1,3,10,13.71201,100.4634,4.235,364,1690000,U,2014,26,66333,701783,77548,84947,82205,85866,1,1,2000000
4998,4861,1029,รีเจ้นท์ โฮม 13 สุขุมวิท 93,Regent Home 13 Sukhumvit 93,3,10,13.83092,100.5252,5.74,1232,2100000,A,2014,22.5,84780,86902,85898,89111,94058,93393,1,1,2000000
5417,138658,1022,เลอริช @ รัชดา,Le Rich @ Ratchada,3,10,13.71235,100.4266,6.54,1273,2300000,A,2015,24,,,82759,54470,84230,57350,1,1,2000000
3815,11066,1029,คอนโดเลต ลาดพร้าว,Condolette Ladprao,3,10,13.80087,100.5213,6.3975,392,1690000,U,2013,27,85829,85126,87283,94508,96914,97223,1,1,2050000
